Size of Dataset, 1000
Epsilon, 1.0
MinPoints, 5
InfoGain, 1.0
Number of Clusters, 15
Distance Metric, Euclidean
Precision, 0.0
Recall, 0.0
Accuracy, 0.803
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0
Elapsed Time, 0
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.0, 1.1014111575580905E-7, 86, 0.0, 86.0
1, 0.0, 0.05555950896015386, 18, 0.0, 18.0
2, 0.0, 0.0, 68, 0.0, 68.0
3, 0.0, 0.06666710999274933, 45, 0.0, 45.0
4, 0.0, 0.16666853889091204, 6, 0.0, 6.0
5, 0.0, 4.1666666666666676E-8, 24, 0.0, 24.0
6, 0.0, 0.06262907996665806, 25, 0.0, 25.0
7, 0.0, 4.622954253571128E-7, 14, 0.0, 14.0
8, 0.0, 0.0, 8, 0.0, 8.0
9, 0.0, 0.142858912166401, 7, 0.0, 7.0
10, 0.0, 2.2672116560953933E-6, 7, 0.0, 7.0
11, 0.0, 1.0, 2, 0.0, 2.0
12, 0.0, 3.3333333333333325E-7, 3, 0.0, 3.0
13, 0.0, 2.699172818834085E-6, 2, 0.0, 2.0
14, 0.0, 5.385164807134504E-6, 1, 0.0, 1.0
